did	document
https://cse.skku.edu/cse/notice.do?mode=view&articleNo=173332&article.offset=0&articleLimit=10	2024년 하계 글로벌 챌린지 프로그램 최종 선발 명단 공지 2024년 하계 글로벌 챌린지 프로그램 최종 선발 명단을 공지합니다.  지원해주신 모든 학생분들께 감사 드립니다.
https://cse.skku.edu/cse/notice.do?mode=view&articleNo=173146&article.offset=0&articleLimit=10	일반대학원에 진학하고자 하는 학사과정 학생에게 학사과정 졸업평가 면제, 대학원 교과목 수강기회(대학원 수업연한 단축 가능) 부여 등의 특전을 주는 제도. 선발된 학생은 선발 후 진입하는 학기에 학사과정 마지막 학기 재학생이어야 하며(수료생 제외), 그 차학기에는 바로 대학원 진학이 가능해야 합니다(학사과정 휴학불가). 
https://cse.skku.edu/cse/notice.do?mode=view&articleNo=171699&article.offset=40&articleLimit=10	5월 1일(수) 근로자의 날 휴무로 인해 행정실 대면 및 전화 업무가 운영되지 않습니다. 행정실 방문이 필요한 경우 5월 2일(목)에 방문하여 주시기 바랍니다.
